,loss_1,loss_2,loss_3,loss_4,loss_5,val_loss_1,val_loss_2,val_loss_3,val_loss_4,val_loss_5
0,0.23375735381255772,0.2337611706688134,0.23374816635895343,0.23621024715966638,0.23380593427998603,0.15653434472134095,0.15479152312564587,0.15487406151212824,0.16111611351887786,0.15504736828768567
1,0.16050151701131923,0.1589732176417576,0.15967013461299573,0.16225027185882643,0.15994523345810918,0.1537055658876596,0.15416907229804794,0.15306997933184963,0.15490771291400995,0.15400363805435918
2,0.15658759434254146,0.15617475427595462,0.15616871873749996,0.1590710602866098,0.15652016537799102,0.15262077351371128,0.1538118532290207,0.15274238446449273,0.15474121129187732,0.15335882805473913
3,0.15528939880075499,0.15463222826121012,0.15511302759819365,0.15648099809070135,0.15537290378053226,0.15219483451077173,0.15348082979565225,0.1528066114766834,0.15261772149820382,0.15278281269029245
4,0.15445916368713417,0.1542066993758973,0.15409093812521463,0.15512082151606876,0.15469829184019104,0.15265878170026956,0.15290650331740605,0.15246919393781017,0.15265336092370277,0.15260744634385304
5,0.15388695808818895,0.15385493130416414,0.15375955417606155,0.1543517548743534,0.15409676736050507,0.15196053161416648,0.15266919736046825,0.15273567413568856,0.15262784475944421,0.152194495396026
6,0.1535598911230579,0.15354130625082768,0.15346715930367066,0.15361481435424984,0.1536866017870117,0.15208651853797087,0.15252305361515048,0.1523786268067906,0.15230689651077328,0.15248014900165144
7,0.15333045322842342,0.15310837413894365,0.15297563841991182,0.15337535589795703,0.153587159492653,0.15199466770351477,0.15257915120004528,0.1523627024359078,0.15204750193374872,0.15237406321662478
8,0.15316461815226623,0.15275918214174886,0.15285092842408673,0.15301895066821936,0.15322343131074323,0.15195879716646973,0.1524650534293707,0.15234647380366184,0.1519909316121193,0.15202876348954572
9,0.15291630631747608,0.15275302352405853,0.15261559516829315,0.15276579477875105,0.15298701508091558,0.15170725251055672,0.1524050739335764,0.15218347039628824,0.15190065968513522,0.15196070165975978
10,0.1527273734442586,0.1526656011334689,0.15245068526705724,0.15252030604101627,0.15290108299278798,0.15182647669851487,0.15256083666916284,0.15242590790367,0.1521451616249278,0.1517603303375442
11,0.1526449288687215,0.15239054786320955,0.15227402494064837,0.1523042296844806,0.1526147516019126,0.1518611909859135,0.15252164234414015,0.15214314364535175,0.1519617921256568,0.1519533395176378
12,0.15242443316887122,0.15221161170819447,0.15219801152975704,0.15221743034670437,0.1525283976632184,0.1516249539894842,0.15245542369023302,0.15212401060958086,0.15222433929705045,0.15167863425307543
13,0.15232002277077342,0.15205763165813957,0.15210890676719252,0.15210866528416375,0.15231758027422695,0.15178933929101426,0.15251889084271664,0.15215018173486175,0.15191897639596025,0.1518623694113927
14,0.15219356383186394,0.15200503006803873,0.15188535029176722,0.15193506401179055,0.15223716938293586,0.1515758497777854,0.15231210031039985,0.1521822476898763,0.15213979689095466,0.152024228960708
15,0.15210268576873306,0.15193167833792096,0.15201403275889647,0.15194099574173656,0.15201561024789598,0.15161428158076226,0.15260860457317044,0.15215450062369326,0.15256536930423456,0.15175415768539313
16,0.15216739109281577,0.15182903355179572,0.15159993322291826,0.15176731538413454,0.15207258345339608,0.15181415105951443,0.15237193748729308,0.1520660023009702,0.15257117837675976,0.15200467680851507
17,0.15188569759317394,0.15172363178915482,0.15159534400701505,0.15154933442050494,0.15182172381355652,0.15157107083846202,0.15234752075108843,0.15206431170725954,0.15213981622658887,0.15157243520890917
18,0.15179241483379344,0.15156786358308483,0.15149032878579635,0.15160777801467648,0.15173527643188953,0.15176135531448104,0.15263647237940334,0.15284533177265255,0.15196916980720257,0.15167699969867535
19,0.15163819398974498,0.15172202962522607,0.15131007241128855,0.15144140379027352,0.15158775085522874,0.15210076776450637,0.15249195015663375,0.15225553123630692,0.1522218655205344,0.151839546151703
